Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
Shakin' Stevens,Green Door,0.657,0.765,4,-5.327,1,0.0514,0.0216,0.00121,0.0993,0.757,132.785,191987,spotify:track:4aX2lcnR7KKRvhZbkgB2xc,yes,1981
Dire Straits,Romeo And Juliet,0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,360667,spotify:track:0PNt5WTw092eED0ru9SuIp,yes,1981
Four Tops,When She Was My Girl,0.652,0.692,5,-7.753,1,0.0433,0.093,0.000788,0.0981,0.775,100.338,202667,spotify:track:55YKbGM1MUejNobBJNHogd,yes,1981
Kool & The Gang,Celebration,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,spotify:track:3K7Q9PHUWPTaknlbFPThn2,yes,1980
Air Supply,All Out of Love,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383,243000,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,yes,1980
ABBA,The Winner Takes It All,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,yes,1980
Blondie,Call Me,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,212600,spotify:track:4qO03RMQm88DdpTJcxlglY,yes,1980
Dolly Parton,9 to 5,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,spotify:track:4w3tQBXhn5345eUXDGBWZG,yes,1980
Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,214653,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,yes,1980
Kate Bush,Babooshka,0.466,0.439,5,-8.892,0,0.0325,0.741,1.64e-05,0.0707,0.289,107.173,209933,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,yes,1980
Visage,Fade To Grey,0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,239360,spotify:track:3yobQNuKVJ62WDU7h725Fu,yes,1980
Spandau Ballet,To Cut a Long Story Short,0.716,0.86,2,-7.807,1,0.046,0.00917,0.839,0.251,0.958,142.168,201013,spotify:track:2CfqGS6D9piBWM3SAjbUJM,yes,1980
Tom Petty and the Heartbreakers,Refugee,0.579,0.705,6,-4.911,0,0.0339,0.0273,0,0.0704,0.761,116.173,201693,spotify:track:4mcZYzoGwPRDdhWVlygiHf,yes,1980
David Bowie,Ashes to Ashes - 2017 Remaster,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,spotify:track:37CRPk0L5ZpfPeePEPwE0t,yes,1980
The Whispers,And the Beat Goes On,0.8,0.608,11,-9.777,0,0.112,0.0711,0.000361,0.0466,0.841,113.196,296027,spotify:track:5rc28C9Ym7zIAypx3QGcnv,yes,1980
DEVO,Whip It,0.768,0.716,2,-12.922,1,0.0625,0.0658,0.00213,0.0379,0.961,157.935,158107,spotify:track:6QG0wcgoCsa9pqFyTg0rRO,yes,1980
Pat Benatar,Heartbreaker,0.466,0.588,5,-10.666,0,0.0812,0.285,9.94e-06,0.0535,0.882,156.131,209360,spotify:track:22ML0MuFKfw16WejbxsLOy,yes,1980
The Vapors,Turning Japanese - Non Stop Edit,0.503,0.908,0,-5.845,1,0.0641,0.0273,7.88e-05,0.396,0.92,179.929,224107,spotify:track:1MANhf0nwr6gFwsRJMeDbr,yes,1980
Jermaine Jackson,Let's Get Serious - Single Version,0.765,0.856,10,-5.84,0,0.0517,0.0666,0,0.055,0.909,109.839,209627,spotify:track:4Te3jA0Z8xMrA4Oyr3sctn,yes,1980
Billy Idol,Dancing With Myself,0.51,0.696,4,-10.83,1,0.0802,0.0157,0.000104,0.297,0.905,176.568,359733,spotify:track:1BY1Vd2Bt6JPOhMvsIwtVv,yes,1980
Bob Seger,Fire Lake,0.613,0.695,9,-5.783,1,0.0253,0.23,0.00191,0.187,0.45,122.47,212987,spotify:track:2fZw0ya0oI4pXsjkB0NBHs,yes,1980
Blondie,Atomic - Remastered,0.598,0.727,4,-7.596,0,0.0318,0.0451,0.226,0.0843,0.9,135.228,280307,spotify:track:6eOHOpNXzYUx79NDB4dMRd,yes,1980
The Beat,Mirror in the Bathroom,0.624,0.702,7,-7.399,1,0.0784,0.0855,0.0674,0.0365,0.951,171.22,186733,spotify:track:70pR7ZZ3C5mkLWoWtDhl38,yes,1980
The Specials,Rat Race,0.523,0.796,1,-9.309,0,0.0593,0.394,0.000245,0.343,0.879,149.481,189333,spotify:track:46lBnks031OQX05mUWBOmZ,yes,1980
Stevie Wonder,I Ain't Gonna Stand For It,0.731,0.434,9,-15.186,1,0.0309,0.000275,0.00889,0.144,0.83,113.587,279000,spotify:track:6o2NonhsBO71qyrCoPcu1g,yes,1980
